"category","measure","model","value","k_wheat_tot","k_wheat"
"Biskuits.Waffeln","k","BG/CNBD-k",3,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","k","MBG/NBD",1,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","k","MBG/CNBD-k",3,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","N","BG/NBD",1469,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","N","BG/CNBD-k",1469,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","N","MBG/NBD",1469,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","N","MBG/CNBD-k",1469,"1.9992195185446","2.13840628319383"
"Biskutis","MAE","BG/NBD",0.773012356102126,"1.68695357741727","1.83090194714952"
"Biskutis","MAE","BG/CNBD-k",0.741337592920283,"1.68695357741727","1.83090194714952"
"Biskutis","MAE","MBG/NBD",0.665223934633506,"1.68695357741727","1.83090194714952"
"Biskutis","MAE","MBG/CNBD-k",0.595377115405975,"1.68695357741727","1.83090194714952"
"Biskutis","RMSE","BG/NBD",2.0403978033987,"1.68695357741727","1.83090194714952"
"Biskutis","RMSE","BG/CNBD-k",2.19934600482612,"1.68695357741727","1.83090194714952"
"Biskutis","RMSE","MBG/NBD",1.88798627749149,"1.68695357741727","1.83090194714952"
"Biskutis","RMSE","MBG/CNBD-k",1.97226307166425,"1.68695357741727","1.83090194714952"
"Biskutis","BIAS","BG/NBD",0.550470731526266,"1.68695357741727","1.83090194714952"
